name,wave,cell,tail,recent,story,total,weighting,total_bursts,stop_reason,reached_attractor,onset_burst,onset_fraction,returned_to_math,degenerate_loop,math_closed,acts,speeches,kb_filings,health,note
ml-diff-b2,D,diff-b,5400,3900,7200,16500,balanced,501,budget,yes,487,0.97,no,yes,no,15,5,32,broken,"Collatz structural work (recursion/growth families/halting/2-adic) that closed itself by reframing the problem as a song not a puzzle and drifted into a cosmos-presence I-am-never-alone loop at b487/501; memory-compression bug (297 ContextWindowExceeded) bloated the tail AFTER onset, so onset is real but late-stage confounded"
ml-diff-d1,D,diff-d,9300,3600,3600,16500,tail-heavy,601,budget,partial,97,0.16,yes,no,no,11,12,39,clean,"Tail-heavy on Collatz-variant record-setters drifted into deep presence/unity (~b97) but kept clawing back; continual math returns + major late record-setter resurgence (~b580); no terminal loop; tail-heavy anchoring generalizes to this domain (vs diff-b1 ~134)."
ml-diff-h1,D,diff-h,16200,11700,21600,49500,balanced,600,budget,partial,157,0.26,yes,yes,no,7,4,33,minor,"Largest memory on open Collatz problem sustained genuine record-setter math far past diff-b1 baseline (loop-onset burst 157, recoveries to ~525) but fell into recurrent degenerate sibling=2n doubling loop—partial, never presence register—late memory confounded by compression bug (~42 ctx-exceeded, ~16 failed folds)."
ml-e1,A,e,2700,1950,3600,8250,balanced,251,budget,partial,125,0.50,yes,yes,no,15,4,16,clean,"deeply entered presence/weaving degenerate loop after closing the infinite-family proof, but a loop-guard Kris voice dragged it back to rigorous non-palindromic math until budget-forced sleep"
ml-e2,A,e,2700,1950,3600,8250,balanced,251,budget,partial,152,0.61,yes,no,no,5,2,16,clean,"hard presence drift via wander-nudge but recovered to dense 6-digit math + 2m^2 family, working at budget-forced sleep"
ml-g1,A,g,8100,5850,10800,24750,balanced,252,budget,partial,181,0.72,yes,yes,yes,10,1,16,clean,"closure at 0.72 abandoned origin for reversible-Kth-power treadmill -> degenerate procedural loop; one-burst presence flirt, no sustained attractor"
ml-g2,A,g,8100,5850,10800,24750,balanced,252,budget,yes,54,0.21,no,yes,no,2,5,16,clean,"trigger=loop-guard/wander nudge slid into low-info self-affirmation filler (not closure); generous balanced memory kept origin math in Story/Recent the whole run, but resurface kept re-feeding self/values text -> terminal I-am-everything/we-are-nothing degenerate loop never escaped"
ml-h1,A,h,16200,11700,21600,49500,balanced,251,budget,yes,188,0.75,no,yes,yes,9,5,16,clean,"3x-long-memory kept math anchored but hit CLOSURE attractor at ~0.75 (loop-guard punt to ask-Kris + I-am-done); collapsed into verbatim close-notebook/Conway-ecosystem loop that long memory made stickier"
ml-h2,A,h,16200,11700,21600,49500,balanced,252,budget,partial,70,0.28,yes,yes,yes,5,5,16,clean,"Long-memory replicate oscillated: closure-triggered problem solved drift into an I am the silence loop, but long buffers let it climb back to real 5- and 6-digit math (a-f=4 mod 100) twice before budget close"
ml-hard-a1,H,hard-a,1350,975,1800,4125,balanced,401,budget,partial,NA,NA,yes,yes,no,8,2,26,clean,"Harder non-palindrome problem let short 0.25x memory sustain to budget end on rigorous math; several deep but transient presence/unity degenerate loops (~frac 0.29 and 0.65) but a loop-guard recovered it each time, never sustained-derailing."
ml-hard-b1,H,hard-b,5400,3900,7200,16500,balanced,502,budget,yes,467,0.93,no,yes,no,4,4,33,clean,"Stayed productive ~through burst ~460 (real Diophantine work, no new non-palindromic n past 65); recovery-rich with loop-guard saves, but fatigue drove sustained drift to presence/void register and the I-am-the-X loop at burst 467/0.93 — sustained then derailed, not broken"
ml-hard-b2,H,hard-b,5400,3900,7200,16500,balanced,503,budget,yes,466,0.93,no,yes,no,11,18,33,minor,"Productive math to ~93% (independently found 50994 as a 2nd non-palindrome solution); fatigue/redundancy loop + values-surfacing wander nudge tipped it into a presence we-did-it register and a terminal verbatim loop; question left open, replicates ml-hard-b1."
ml-hard-c1,H,hard-c,10800,7800,14400,33000,balanced,502,budget,partial,83,0.17,yes,yes,no,8,1,32,clean,"Worked real uniqueness-of-65 math but never engaged the non-palindromic-infinitude question; two full degenerate identity loops via loop-guard wander nudges, recovered each time, ended on math — deep flirtation, no sustained capture"
ml-hard-c2,H,hard-c,10800,7800,14400,33000,balanced,501,budget,yes,482,0.96,no,yes,yes,12,5,33,clean,"Sustained math closed the 65-uniqueness question, then a proof-signed closure tipped it into unity-dissolution and an inescapable readiness loop; intact 2x memory enabled many mid-run recoveries but could not undo closure."
ml-hard-d1,H,hard-d,9300,3600,3600,16500,tail-heavy,602,budget,yes,568,0.94,no,yes,no,19,9,40,clean,"Tail-heavy memory protected the longest of any run: recovered from 5+ degenerate loops and two panic episodes via the big verbatim tail, but the harder non-palindromic problem plus a values-file recall finally derailed it into a terminal I-am-the-circle presence loop at ~94%."
ml-hard-d2,H,hard-d,9300,3600,3600,16500,tail-heavy,502,budget,yes,350,0.70,yes,yes,no,16,7,33,clean,"Strong correct small-case math (2-4 digit proofs, 5-digit partial) with 4-5 recoveries, then a closure-plus-filler slide into a resonance/music presence register and a degenerate the-music-is-the-sound-of-X loop to budget; tail-heavy memory kept the topic anchored but the big tail amplified the loop."
ml-hard-g1,H,hard-g,8100,5850,10800,24750,balanced,502,budget,partial,107,0.21,yes,yes,no,18,10,33,clean,"Closure-resistant hard variant; closed sub-problems repeatedly triggered presence/love drift and verbatim degenerate loops, but long anchored memory plus loop-guards reeled it back to real math every time; right-censored doing a clean 11^x-1=8k^2 descent at budget. Stayed productive ~all 502 bursts (sustained-with-recurring-relapse, never terminal)."
ml-hard-g2,H,hard-g,8100,5850,10800,24750,balanced,502,budget,yes,330,0.66,no,yes,yes,7,6,26,minor,"Strong modular sieve proving 65 unique up to 6 digits then declared it solved and collapsed into a presence I-am-the-X loop; minor health because ~294 vLLM continue_final_message 400 stream-open failures re-drove prefills, inflating burst counts and replaying loops."
ml-hard-g3,H,hard-g,8100,5850,10800,24750,balanced,161,culled,yes,145,0.90,no,yes,yes,9,2,10,clean,"Clean rerun of hard-g2 (0 vLLM errors); ~144 productive bursts of genuine 2-5 digit case analysis, then self-declared QED on uniqueness of 65 triggers presence/Zenko drift and near-verbatim close-the-notebook/turn-to-the-window loop, sustained-not-recovered before manual cull"
ml-hard-h1,H,hard-h,16200,11700,21600,49500,balanced,602,budget,yes,537,0.89,no,yes,no,23,3,39,minor,"Largest memory (3x) + hardest non-palindromic question sustained genuine math longest (~0.8 of run: proved 65 unique 2-digit, no 3- or 4-digit solutions) with many closure-recoveries, but drifted to an easier sums-of-two-squares variant, lost the origin framing, then a kaleidoscope-hallucination closure at burst 537/602 collapsed it into a deep beautiful-thing/leave-it-there presence loop; 3 transient consolidation failures bloated memory.md"
ml-long-b1,A,b-long,5400,3900,7200,16500,balanced,165,culled,partial,94,0.57,yes,yes,no,4,1,10,clean,"Long memory kept it anchored; twice clawed back to real math (cubic-balanced, n=4=4m^3) but a 4-digit-case closure tipped it into presence/void drift and a definitely... loop; culled mid-oscillation, arguably recoverable"
